Timestamp,Prolific ID,Age Range,Column 3,Region (state you live in),"Dietary Restrictions (vegan, halal, gluten-free, etc.)", Which describes you best most weeks?,Pick your top 3 priorities when choosing fast food.,Top 5 chains you eat most? (list),Choose favorite fast food restaurant + favorite menu item,What was your first impression / memory of the food?,Any customizations?,Rate the crispiness. ,Rate the juiciness. ,Rate the greasiness/oiliness. ,Rate the saltiness.,Rate the spice heat.,Rate the sweetness.,How ‘fresh’ did it taste? ,Texture overall?,Flavor profile?,Aftertaste?,Was it made correctly?,Temperature?,Portion Size,"If this wasn’t available, what would you get instead? (chain + item)",Would you pair this with anything next time?,Does it beat your usual pick?,Where did you get it?,Where were you when deciding?,What’s the occasion?,Time of day?,Were you alone or with people?,What price did you see (roughly) for the main item?,Did you use a deal/coupon/points?,Was anything you wanted unavailable?,"Compared to your last fast-food order, did anything change in what you wanted today?",What was the main trigger for choosing this today?,Was this planned or spontaneous?,What time constraint were you under?,Did you switch from your usual chain or usual item today?,Why did you switch?,Did you choose this mainly because of a deal?,"If there were no deals anywhere, what would you have done?",Are you feeling more price sensitive than you were 2–4 weeks ago?,What caused that change?,Are you feeling more price sensitive than you were last year?,Are you currently trying to eat healthier than you were 2–4 weeks ago?,Are you currently trying to eat healthier than you were last year?,What’s driving that?,Did you recently start or stop something?,Are you more in explore mode or routine mode lately?,What’s driving that?,"If you liked this new item, what’s the reason you’d repeat it?",Did this order feel like an automatic/default decision? (0–10),What made it default?,"If you’ve been repeating a lot lately, why?",Did anyone influence your choice for order?,What would influence you to change your oder,Do your friends / roommates eating differently or trying new things change your order?,Which mode best describes the past 7 days?,What caused that mode?,Do you think this mode will continue next week?,Do you think this mode will continue next month?,Do you think this mode will continue next year?
12/17/2025 13:43:10,69412b3d25ee8f7e99a43b69,18–24,Option 1,pennsylvania,none,convenience-first,"taste, price, convenience","mcdonald, wawa, burgerking, popeyes, raising canes","raising canes, 3 finger combo",It was very delicious ,,5,5,2,3,1,1,4,tender,savory,clean,perfect,just right,normal,"raising canes, the box combo",dessert,no,in-store,campus,lunch,5 pm,friends,15,none,no,cravings,wanted a treat,spontaneous,none,no,,no,nothing,Maybe,saving goal,Yes,No,No,,schedule change,mixed,trying to save money,it feels like a treat,5,close location,convenience,No,,No,convenience,busy week,Maybe,Maybe,Maybe
12/17/2025 13:58:50,680cf3759bbfca13d68e130a,55–64,Option 1,Florida,none,routine eater,"taste, speed, convenience","5 Guys, Wendy's, Popeyes, Arby's, ",Arby's plain roast beef sandwich,It was an occasional treat when I was growing up.,add cheese,1,4,1,3,1,1,5,tender,savory,clean,perfect,lukewarm,normal,A different roast beef sandwich at Arby's,,no,drive-thru,work,lunch,11:30AM,alone,5,none,no,,craving,spontaneous,none,no,,no,paid full price,No,,Yes,No,Yes,fitness goal,,routine,comfort routine,it’s better than my default,5,reliable taste,,No,availability,No,convenience,,Yes,Yes,Yes
12/17/2025 14:13:50,67722f8e3a4f08a288a1f640,55–64,,Washington,None,routine eater,"taste, price, novelty","Papa John's, McDonalds, Burger King, Taco Bell, Pizza Hut, Subway",Papa John's pepperoni pizza,"Eating the pizza, then dipping the crust into the garlic sauce was a novel idea, it really appealed to me the first time I tried it.",extra sauce,2,2,4,4,3,1,5,tender,savory,oily,perfect,just right,normal,McDonald's Big Mac,dessert,no,delivery,home,dinner,7:00 pm,family,$18.00,none,no,cravings,craving,spontaneous,none,item,convenience,no,I still would have ordered the food.,Maybe,just trying to be disciplined,Yes,No,Yes,weight goal,,mixed,comfort routine,it feels like a treat,4,routine schedule,,No,If there was a better deal as an add-on,No,treat,stress,Maybe,Maybe,Maybe
12/17/2025 14:30:05,6723b48ee32121e982a935b6,25–34,,Texas,N/A,health-first,"taste, health, convenience","Dunkin, Taco Bell, Wendy's, Chick-fil-A, Starbucks",Chick-fil-A + Sandwich,Spice and crunchy flavors,add cheese,5,5,3,4,4,5,4,crispy,cheesy,lingering,perfect,just right,small,Dunkin + doughnuts,coffee,no,pickup,work,lunch,Midday,alone,$14,none,no,trying new things,someone suggested,spontaneous,none,item,health mode,no,Choose something else,Yes,prices went up,No,Yes,Yes,weight goal,diet plan,mixed,new items launching,it’s a good value,4,reliable taste,convenience,No,Price or health choices,No,health,goals,Yes,Yes,Yes
12/17/2025 15:06:37,67a5669452a6651f8be0b0bc,45–54,Option 1,North Carolina,Gluten-free,health-first,"taste, health, convenience","McDonald’s – Classic burgers, fries, breakfast items.

Starbucks – Coffee, snacks, and light meals.

Chick-fil-A – Chicken sandwiches and nuggets.

Taco Bell – Tex-Mex fast food, tacos, burritos.

Subway – Customizable sandwiches and salads.","If I were to pick a favorite fast food spot, it would be Chick-fil-A, and my top menu item there would be the Spicy Chicken Sandwich—crispy, juicy, and just the right amount of kick.","My first impression was that it was surprisingly fresh for fast food. I remember the chicken being really juicy and crispy at the same time, with a clean, well‑seasoned flavor—not greasy or heavy. The heat from the spicy filet stood out immediately, but it wasn’t overpowering, and the soft bun balanced it perfectly.",extra sauce,5,5,5,3,3,5,5,crispy,creamy,oily,perfect,just right,,,dessert,yes,in-store,home,dinner,6:00 PM,,20,app deal,no,cravings,was nearby,spontaneous,strong,item,convenience,no,"If there were no deals anywhere, what would I have done?
I would have still gone for it because I was craving the Spicy Chicken Sandwich. Deals are nice, but the flavor and familiarity are what really draw me in. It’s more about the food itself than saving a few dollars.",No,delivery fees,Yes,Yes,Yes,weight goal,gym routine,routine,friends/social media,it feels like a treat,4,easy ordering,convenience,,"Spice level – if it felt too mild or too spicy, I might switch to the regular or grilled version.  New menu items – a limited-time sandwich or seasonal special could tempt me.",No,convenience,goals,Yes,Yes,No
12/17/2025 15:19:46,6642aaff6b9eaa6fcd640b60,25–34,Option 1,NC,none,value-first,"taste, price, convenience","taco bell, jersey mikes, papa johns",jersey mikes stickball special,eating cheddar cheese as a kid,none,2,4,3,3,1,1,5,chewy,savory,clean,perfect,just right,normal,jersey mikes italian,sauce,yes,delivery,home,hangover,morning,alone,11,app deal,no,cravings,saw a deal,spontaneous,none,no,deal,yes,Get something else that was similar in flavor,Yes,income change,Maybe,No,Yes,weight goal,schedule change,mixed,trying to save money,it feels like a treat,3,reliable taste,deal pattern,No,price,No,treat,stress,Maybe,No,No
12/17/2025 15:21:54,60fefe75aa12dfd51d3fbe4e,25–34,Option 1,texas,gluten free,convenience-first,"taste, price, health, social","mcdonalds, wends, sonic, church's, wingstop",wingstop mango habanero bone-in wings,it looked super good and glazed,no,5,5,2,3,5,3,5,tender,savory,sweet,perfect,just right,normal,lemon pepper bone-in wings,fries,no,pickup,home,lunch,4pm,alone,$7,none,no,schedule,someone suggested,spontaneous,none,no,health mode,no,nothing,No,just trying to be disciplined,Yes,Yes,Yes,weight goal,diet plan,routine,friends/social media,it fits my current goals,3,consistent price,convenience,Yes,price going up,No,health,stress,No,Yes,No
12/17/2025 15:27:30,671936053fd2824bcf9fe04b,55–64,Option 1,California,Gluten-free,health-first,"taste, price, health","Mc Donald's, Burger King, Taco Bell, Wendy's, Jack in the Box",Taco Bell - Regular Tacos,I ate my first Big Mac when I was nine years old and I loved it!,add cheese,5,5,1,3,1,3,5,tender,savory,clean,perfect,just right,normal,Burger King - regular cheeseburger,fries,yes,drive-thru,home,dinner,6 p.m.,family,2.89,none,yes,schedule,craving,spontaneous,none,no,convenience,no,I would still order what I usually order.,No,just trying to be disciplined,No,No,Yes,medical/diet restriction,medication/supplement,routine,comfort routine,it’s a good value,1,reliable taste,comfort,No,Nothing,No,health,payday,Yes,Yes,Yes
12/17/2025 15:30:10,668edb3b608a3d4537e2da08,45–54,Option 1,Texas,None,health-first,"taste, health, convenience","SUbway
Taco bell
Starbucks
Taco Bueno
McDonald's",McDonald's Egg McMuffin,It is simple and classic,add cheese,4,5,4,3,4,5,4,crispy,savory,lingering,perfect,just right,normal,McDonald's  Crispy Chicken Sandwiich,fries,yes,delivery,home,breakfast,9am,family,7,none,no,trying new things,wanted a treat,planned,none,chain,convenience,no,I would stick with my usual chain,Yes,delivery fees,No,Yes,Yes,fitness goal,gym routine,explore,new items launching,it feels like a treat,3,easy ordering,comfort,No,I wanted to try new things and change taste,No,health,goals,Yes,Yes,Yes
12/21/2025 9:11:38,6717a32bba602b1ce6de995a,35–44,,NC,None,routine eater,"taste, price, speed","Taco Bell, McDonald’s, Burger King, Popeyes, checkers",Taco bell,Better than taco John’s ,,5,5,2,3,4,3,5,tender,cheesy,clean,perfect,just right,normal,Chicken nuggets anywhere ,fries,no,drive-thru,commuting,quick bite,Afternoon,friends,$2,coupon,no,convenience,time pressure,spontaneous,mild,chain,new item,partly,Waited til I got home ,Yes,income change,Yes,No,No,new routine,schedule change,routine,comfort routine,it feels like a treat,2,easy ordering,deal pattern,Yes,My tastebuds ,Yes,budget,stress,Yes,Yes,Yes
